<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1999.02.01	1.13830	1.13970	1.09260	1.10250	100263	0	50
1999.03.01	1.09820	1.10700	1.06800	1.07690	117961	0	50
1999.04.01	1.07670	1.08840	1.05470	1.05750	107056	0	50
1999.05.01	1.05860	1.08330	1.03970	1.04220	120523	0	50
1999.06.01	1.04180	1.05590	1.02600	1.03620	139192	0	50
1999.07.01	1.03600	1.07460	1.01070	1.07140	132339	0	50
1999.08.01	1.06990	1.08270	1.03980	1.05620	133643	0	50
1999.09.01	1.05650	1.07290	1.02860	1.06790	142426	0	50
1999.10.01	1.06790	1.09150	1.04310	1.05270	141828	0	50
1999.11.01	1.05510	1.05940	1.00370	1.00850	150615	0	50
1999.12.01	1.00850	1.02970	0.99910	1.00620	131459	0	50
2000.01.01	1.00730	1.04150	0.96670	0.97110	138774	0	50
2000.02.01	0.97110	1.00890	0.94010	0.96350	138564	0	50
2000.03.01	0.96350	0.97930	0.94780	0.95520	158741	0	50
2000.04.01	0.95620	0.97490	0.90300	0.91170	130989	0	50
2000.05.01	0.91200	0.94120	0.88440	0.93700	149286	0	50
2000.06.01	0.93700	0.97000	0.92840	0.95230	136674	0	50
2000.07.01	0.95240	0.95990	0.91920	0.92660	127362	0	50
2000.08.01	0.92670	0.92930	0.88410	0.88860	134407	0	50
2000.09.01	0.88860	0.90400	0.84390	0.88420	143933	0	50
2000.10.01	0.88410	0.88580	0.82270	0.84840	145693	0	50
2000.11.01	0.84880	0.87960	0.83720	0.87240	162542	0	50
2000.12.01	0.87270	0.94300	0.87010	0.94240	162803	0	50
2001.01.01	0.94210	0.95960	0.91150	0.93770	179557	0	50
2001.02.01	0.93760	0.94450	0.90140	0.92350	157489	0	50
2001.03.01	0.92340	0.93820	0.87490	0.87550	188089	0	50
2001.04.01	0.87430	0.90930	0.87060	0.88920	180298	0	50
2001.05.01	0.88930	0.90090	0.84390	0.84460	189810	0	50
2001.06.01	0.84550	0.86740	0.84100	0.84970	166377	0	50
2001.07.01	0.85030	0.88250	0.83460	0.87630	196467	0	50
2001.08.01	0.87620	0.92410	0.87370	0.91250	207174	0	50
2001.09.01	0.90940	0.93350	0.88240	0.91140	188323	0	50
2001.10.01	0.91030	0.92460	0.88670	0.90020	202803	0	50
2001.11.01	0.90030	0.91210	0.87350	0.89560	193005	0	50
2001.12.01	0.89560	0.90830	0.87410	0.88960	189753	0	50
2002.01.01	0.88970	0.90690	0.85700	0.85920	208695	0	50
2002.02.01	0.85930	0.88030	0.85620	0.86950	170387	0	50
2002.03.01	0.86930	0.88700	0.86290	0.87190	181302	0	50
2002.04.01	0.87160	0.90490	0.87140	0.90050	184477	0	50
2002.05.01	0.90050	0.94160	0.89900	0.93370	203833	0	50
2002.06.01	0.93300	0.99920	0.93020	0.99110	187740	0	50
2002.07.01	0.99140	1.02100	0.97140	0.97740	228134	0	50
2002.08.01	0.97720	0.99190	0.96210	0.98150	205862	0	50
2002.09.01	0.98240	0.99930	0.96080	0.98650	199411	0	50
2002.10.01	0.98660	0.99310	0.96870	0.99060	204564	0	50
2002.11.01	0.99040	1.01730	0.98770	0.99380	191521	0	50
2002.12.01	0.99280	1.05070	0.98600	1.04890	193056	0	50
2003.01.01	1.04920	1.09100	1.03350	1.07710	218607	0	50
2003.02.01	1.07890	1.09380	1.06640	1.08060	197440	0	50
2003.03.01	1.07790	1.10870	1.05020	1.09220	213165	0	50
2003.04.01	1.09160	1.11910	1.05590	1.11830	211561	0	50
2003.05.01	1.11820	1.19310	1.11540	1.17850	249588	0	50
2003.06.01	1.17200	1.19320	1.13990	1.15240	227029	0	50
2003.07.01	1.15230	1.16130	1.11120	1.12330	248743	0	50
2003.08.01	1.12340	1.14300	1.07880	1.09850	211864	0	50
2003.09.01	1.09900	1.17390	1.07620	1.16580	226623	0	50
2003.10.01	1.16530	1.18650	1.15310	1.15860	242812	0	50
2003.11.01	1.15820	1.20190	1.13760	1.19980	202971	0	50
2003.12.01	1.19880	1.26490	1.19350	1.25880	229361	0	50
2004.01.01	1.25920	1.29010	1.23330	1.24670	239514	0	40
2004.02.01	1.24810	1.29300	1.23710	1.24950	225344	0	40
2004.03.01	1.24810	1.25440	1.20460	1.23160	242768	0	40
2004.04.01	1.23140	1.23910	1.17590	1.19860	231436	0	40
2004.05.01	1.19960	1.23000	1.17700	1.21920	264638	0	40
2004.06.01	1.21970	1.23560	1.19530	1.21860	269963	0	40
2004.07.01	1.21880	1.24640	1.19900	1.20190	252811	0	40
2004.08.01	1.20690	1.23910	1.19680	1.21820	236950	0	40
2004.09.01	1.21810	1.24460	1.20260	1.24280	199713	0	40
2004.10.01	1.24290	1.28440	1.22240	1.27870	191750	0	40
2004.11.01	1.28180	1.33360	1.26550	1.32890	201135	0	40
2004.12.01	1.32890	1.36700	1.31390	1.35620	208582	0	40
2005.01.01	1.35620	1.35810	1.29220	1.30450	197511	0	30
2005.02.01	1.30460	1.32800	1.27320	1.32150	183667	0	30
2005.03.01	1.32160	1.34830	1.28560	1.29650	210865	0	30
2005.04.01	1.29620	1.31270	1.27670	1.28740	218319	0	30
2005.05.01	1.28620	1.29930	1.22940	1.23080	253833	0	30
2005.06.01	1.23080	1.23560	1.19820	1.20940	282482	0	30
2005.07.01	1.20910	1.22590	1.18650	1.21230	265591	0	30
2005.08.01	1.21230	1.24890	1.21170	1.23420	283337	0	30
2005.09.01	1.23410	1.25910	1.19780	1.20640	262830	0	30
2005.10.01	1.20200	1.22090	1.18750	1.19840	217430	0	30
2005.11.01	1.19830	1.20850	1.16380	1.17900	209022	0	30
2005.12.01	1.17900	1.20640	1.16600	1.18390	197771	0	30
2006.01.01	1.18490	1.23240	1.18010	1.21480	207398	0	20
