EURUSDMN_x,EURUSDMN_y
2016-09-01,1.1224699999999999
2016-10-01,1.10473
2016-11-01,1.090835
2016-12-01,1.059915
2017-01-01,1.057595
2017-02-01,1.0660850000000002
2017-03-01,1.0700150000000002
2017-04-01,1.0760049999999999
2017-05-01,1.105335
2017-06-01,1.128185
2017-07-01,1.157835
2017-08-01,1.18659
2017-09-01,1.1904599999999999
2017-10-01,1.172695
2017-11-01,1.175755
2017-12-01,1.18715
2018-01-01,1.2226650000000001
2018-02-01,1.23716
2018-03-01,1.2315450000000001
2018-04-01,1.2234500000000001
2018-05-01,1.17969
2018-06-01,1.1679849999999998
2018-07-01,1.168275
2018-08-01,1.1516950000000001
2018-09-01,1.1670150000000001
2018-10-01,1.1463
2018-11-01,1.135735
2018-12-01,1.137745
2019-01-01,1.142935
2019-02-01,1.13608
2019-03-01,1.1311650000000002
2019-04-01,1.1217000000000001
2019-05-01,1.11855
2019-06-01,1.12856
2019-07-01,1.12154
2019-08-01,1.110625
2019-09-01,1.0997
2019-10-01,1.102915
2019-11-01,1.107815
2019-12-01,1.1121050000000001
2020-01-01,1.110325
2020-02-01,1.09351
2020-03-01,1.106595
2020-04-01,1.088295
2020-05-01,1.09557
2020-06-01,1.126125
2020-07-01,1.154665
2020-08-01,1.1830850000000002
2020-09-01,1.18115
2020-10-01,1.1760199999999998
2020-11-01,1.180265
2020-12-01,1.21176
2021-01-01,1.2201499999999998
2021-02-01,1.20977
2021-03-01,1.190865
2021-04-01,1.19313
2021-05-01,1.21262
2021-06-01,1.2049750000000001
2021-07-01,1.18303
2021-08-01,1.178185
2021-09-01,1.182985
